,Family,Genus,Species,Subspecies,Infrasubspecies,Sex,Name
34859,Pieridae,Eurema,Eurema cf. simulatrix,Eurema cf. simulatrix,,Eurema cf. simulatrix male,Pieridae Eurema cf. simulatrix nan nan male
34861,Pieridae,Appias,Appias cf. indra,Appias cf. indra,,Appias cf. indra male,Pieridae Appias cf. indra nan nan male
34891,Pieridae,Appias,Appias cf. lyncida,Appias cf. lyncida,,,Pieridae Appias cf. lyncida nan nan nan
34908,Pieridae,Delias,Delias pasithoe,Delias pasithoe parthenope,,Delias pasithoe parthenope male,Pieridae Delias pasithoe parthenope nan male
34920,Pieridae,Delias,Delias periboea,Delias periboea periboea,,Delias periboea periboea female,Pieridae Delias periboea periboea nan female
34926,Pieridae,Pareronia,Pareronia valeria,Pareronia valeria,,,Pieridae Pareronia valeria nan nan nan
34936,Pieridae,Appias,Appias,Appias,,Appias female,Pieridae Appias nan nan nan female
34945,Pieridae,Belenois,Belenois java,Belenois java,,Belenois java male,Pieridae Belenois java nan nan male
34950,Pieridae,Delias,Delias crithoe,Delias crithoe,,Delias crithoe male,Pieridae Delias crithoe nan nan male
34966,Satyridae,Melanargia,Melanargia galathea,Melanargia galathea,,,Satyridae Melanargia galathea nan nan nan
34968,Pieridae,Eurema,Eurema blanda,Eurema blanda odinia,,Eurema blanda odinia female,Pieridae Eurema blanda odinia nan female
35010,Pieridae,Eurema,Eurema cf. laeta,Eurema cf. laeta,,,Pieridae Eurema cf. laeta nan nan nan
35048,Lycaenidae,Danis,Danis phroso,Danis phroso,,,Lycaenidae Danis phroso nan nan nan
35079,Pieridae,Delias,Delias ladas,Delias ladas wamenaensis,,Delias ladas wamenaensis male,Pieridae Delias ladas wamenaensis nan male
35088,Pieridae,Delias,Delias ladas,Delias ladas wamenaensis,,Delias ladas wamenaensis female,Pieridae Delias ladas wamenaensis nan female
35104,Pieridae,Eurema,Eurema cf. blanda,Eurema cf. blanda,,,Pieridae Eurema cf. blanda nan nan nan
35334,Pieridae,Aporia,Aporia agathon,Aporia agathon,,,Pieridae Aporia agathon nan nan nan
35349,Pieridae,Aporia,Aporia agathon,Aporia agathon,,Aporia agathon female,Pieridae Aporia agathon nan nan female
35380,Pieridae,Colias,Colias,Colias,,,Pieridae Colias nan nan nan nan
35413,Pieridae,Delias,Delias geraldina,Delias geraldina siderea,,Delias geraldina siderea male,Pieridae Delias geraldina siderea nan male
40917,Nymphalidae,Coenonympha,Coenonympha pamphilus,Coenonympha pamphilus,,,Nymphalidae Coenonympha pamphilus nan nan nan
41218,Nymphalidae,Coenonympha,Coenonympha glycerion,Coenonympha glycerion,,,Nymphalidae Coenonympha glycerion nan nan nan
41710,Nymphalidae,Hipparchia,Hipparchia statilinus,Hipparchia statilinus,,,Nymphalidae Hipparchia statilinus nan nan nan
41970,Nymphalidae,Pyronia,Pyronia tithonus,Pyronia tithonus,,,Nymphalidae Pyronia tithonus nan nan nan
42027,Nymphalidae,Satyrus,Satyrus ferula,Satyrus ferula,,,Nymphalidae Satyrus ferula nan nan nan
42102,Nymphalidae,Melanargia,Melanargia lachesis,Melanargia lachesis,,,Nymphalidae Melanargia lachesis nan nan nan
42204,Nymphalidae,Pyronia,Pyronia bathseba,Pyronia bathseba,,,Nymphalidae Pyronia bathseba nan nan nan
42211,,,,,,ERROR,nan nan nan nan nan ♂♂
42288,Nymphalidae,Arethusana,Arethusana arethusa,Arethusana arethusa,,,Nymphalidae Arethusana arethusa nan nan nan
42344,Nymphalidae,Satyrus,Satyrus briseis,Satyrus briseis,,,Nymphalidae Satyrus briseis nan nan nan
42362,Nymphalidae,Pyronia,Pyronia cecilia,Pyronia cecilia,,,Nymphalidae Pyronia cecilia nan nan nan
42409,Nymphalidae,Satyrus,Satyrus actaea,Satyrus actaea,,,Nymphalidae Satyrus actaea nan nan nan
42462,Nymphalidae,Pararge,Pararge maera,Pararge maera,,,Nymphalidae Pararge maera nan nan nan
42470,Nymphalidae,Satyrus/Hipparchia,Satyrus/Hipparchia circe/hermione/fagi,Satyrus/Hipparchia circe/hermione/fagi,,,Nymphalidae Satyrus/Hipparchia circe/hermione/fagi nan nan nan
42504,Nymphalidae,Melanargia,Melanargia galathea,Melanargia galathea,,,Nymphalidae Melanargia galathea nan nan nan
42637,Nymphalidae,Coenonympha,Coenonympha dorus,Coenonympha dorus,,,Nymphalidae Coenonympha dorus nan nan nan
42696,Nymphalidae,Hipparchia,Hipparchia hermione,Hipparchia hermione,,,Nymphalidae Hipparchia hermione nan nan nan
43033,Nymphalidae,Junonia,Junonia hierta,Junonia hierta,,,Nymphalidae Junonia hierta nan nan nan
1921,Nymphalidae,Euploea,Euploea netscheri,Euploea netscheri,,,Nymphalidae Euploea netscheri nan nan nan
2069,Drepanidae,,,,,,Drepanidae nan nan nan nan nan
3583,Pieridae,Delias,Delias pheres,Delias pheres approximata,,,Pieridae Delias pheres approximata nan nan
5468,Nymphalidae,Charaxes,Charaxes borneensis,Charaxes borneensis,,Charaxes borneensis ♀,Nymphalidae Charaxes borneensis nan nan ♀
5469,Nymphalidae,Charaxes,Charaxes latona,Charaxes latona,,Charaxes latona ♀,Nymphalidae Charaxes latona nan nan ♀
5470,Nymphalidae,Charaxes,Charaxes,Charaxes,,Charaxes ♀,Nymphalidae Charaxes nan nan nan ♀
5476,Nymphalidae,Charaxes,Charaxes hara,Charaxes hara,,,Nymphalidae Charaxes hara nan nan nan
5477,Nymphalidae,Charaxes,Charaxes mori,Charaxes mori,,,Nymphalidae Charaxes mori nan nan nan
5484,Nymphalidae,Charaxes,Charaxes latona,Charaxes latona,,,Nymphalidae Charaxes latona nan nan nan
5486,Nymphalidae,Polyura,Polyura pyrrhus,Polyura pyrrhus,,,Nymphalidae Polyura pyrrhus nan nan nan
5494,Nymphalidae,Charaxes,Charaxes durnfordi,Charaxes durnfordi,,,Nymphalidae Charaxes durnfordi nan nan nan
5499,Nymphalidae,Charaxes,Charaxes pyrrhus,Charaxes pyrrhus,,Charaxes pyrrhus ♂,Nymphalidae Charaxes pyrrhus nan nan ♂
5501,Nymphalidae,Charaxes,Charaxes latona,Charaxes latona,,Charaxes latona ♂,Nymphalidae Charaxes latona nan nan ♂
5508,Nymphalidae,Charaxes,Charaxes cognatus,Charaxes cognatus,,,Nymphalidae Charaxes cognatus nan nan nan
5509,Nymphalidae,Charaxes,Charaxes cognatus,Charaxes cognatus,,Charaxes cognatus ♀,Nymphalidae Charaxes cognatus nan nan ♀
5518,Nymphalidae,Charaxes,Charaxes madensis,Charaxes madensis,,,Nymphalidae Charaxes madensis nan nan nan
5530,Nymphalidae,Charaxes,Charaxes nitebis,Charaxes nitebis,,,Nymphalidae Charaxes nitebis nan nan nan
5536,Nymphalidae,Charaxes,Charaxes ocellatus,Charaxes ocellatus,,,Nymphalidae Charaxes ocellatus nan nan nan
5537,Nymphalidae,Charaxes,Charaxes affinis,Charaxes affinis,,,Nymphalidae Charaxes affinis nan nan nan
5540,Nymphalidae,Charaxes,Charaxes setan,Charaxes setan,,,Nymphalidae Charaxes setan nan nan nan
5547,Nymphalidae,Charaxes,Charaxes mars,Charaxes mars,,,Nymphalidae Charaxes mars nan nan nan
5556,Nymphalidae,Charaxes,Charaxes eurialis,Charaxes eurialis,,,Nymphalidae Charaxes eurialis nan nan nan
5558,Nymphalidae,Charaxes,Charaxes solon,Charaxes solon,,Charaxes solon ♀,Nymphalidae Charaxes solon nan nan ♀
5559,Nymphalidae,Charaxes,Charaxes solon,Charaxes solon,,Charaxes solon ♂,Nymphalidae Charaxes solon nan nan ♂
5560,Nymphalidae,Charaxes,Charaxes jasius,Charaxes jasius,,Charaxes jasius female,Nymphalidae Charaxes jasius nan nan female
5561,Nymphalidae,Charaxes,Charaxes jasius,Charaxes jasius,,Charaxes jasius male,Nymphalidae Charaxes jasius nan nan male
5622,Nymphalidae,,,,,ERROR,Nymphalidae nan nan nan nan ♂
5633,Nymphalidae,Charaxes,Charaxes Polyxena,Charaxes Polyxena,,Charaxes Polyxena ♂,Nymphalidae Charaxes Polyxena nan nan ♂
5667,Nymphalidae,Charaxes,Charaxes harmodius,Charaxes harmodius,,,Nymphalidae Charaxes harmodius nan nan nan
5671,Nymphalidae,Charaxes,Charaxes distanti,Charaxes distanti,,Charaxes distanti ♂,Nymphalidae Charaxes distanti nan nan ♂
5673,Nymphalidae,Charaxes,Charaxes eurialus,Charaxes eurialus,,Charaxes eurialus ♂,Nymphalidae Charaxes eurialus nan nan ♂
5675,Nymphalidae,Charaxes,Charaxes solon,Charaxes solon,,,Nymphalidae Charaxes solon nan nan nan
5678,Nymphalidae,Charaxes,Charaxes fionae,Charaxes fionae,,Charaxes fionae male,Nymphalidae Charaxes fionae nan nan male
5693,Nymphalidae,Charaxes,Charaxes tiridates,Charaxes tiridates,,,Nymphalidae Charaxes tiridates nan nan nan
5695,Nymphalidae,Charaxes,Charaxes grahamei,Charaxes grahamei,,Charaxes grahamei ♂,Nymphalidae Charaxes grahamei nan nan ♂
5696,Nymphalidae,Charaxes,Charaxes cynthia,Charaxes cynthia,,Charaxes cynthia ♀,Nymphalidae Charaxes cynthia nan nan ♀
5697,Nymphalidae,Charaxes,Charaxes anticlea,Charaxes anticlea,,Charaxes anticlea ♂,Nymphalidae Charaxes anticlea nan nan ♂
5699,Nymphalidae,Charaxes,Charaxes kahldeni,Charaxes kahldeni,,Charaxes kahldeni ♂,Nymphalidae Charaxes kahldeni nan nan ♂
5700,Nymphalidae,Charaxes,Charaxes eupale,Charaxes eupale,,Charaxes eupale ♂,Nymphalidae Charaxes eupale nan nan ♂
5701,Nymphalidae,Charaxes,Charaxes lucretius,Charaxes lucretius,,Charaxes lucretius ♀,Nymphalidae Charaxes lucretius nan nan ♀
5702,Nymphalidae,Charaxes,Charaxes catachrous,Charaxes catachrous,,Charaxes catachrous ♂,Nymphalidae Charaxes catachrous nan nan ♂
