,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
277,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia consimilis,Pantoporia consimilis stenopa,Pantoporia consimilis stenopa male,Lepidoptera Butterfly Nymphalidae Pantoporia consimilis stenopa male
278,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia consimilis,Pantoporia consimilis stenopa,,Lepidoptera Butterfly Nymphalidae Pantoporia consimilis stenopa nan
280,Lepidoptera,Butterfly,Nymphalidae,Lasippa,Lasippa neriphus,Lasippa neriphus,,Lepidoptera Butterfly Nymphalidae Lasippa neriphus nan nan
284,Lepidoptera,Butterfly,Nymphalidae,Lasippa,Lasippa neriphus,Lasippa neriphus,Lasippa neriphus female,Lepidoptera Butterfly Nymphalidae Lasippa neriphus nan female
288,Lepidoptera,Butterfly,Nymphalidae,Acraea,Acraea issoria,Acraea issoria vestoides,,Lepidoptera Butterfly Nymphalidae Acraea issoria vestoides nan
292,Lepidoptera,Butterfly,Nymphalidae,Acraea,Acraea issoria,Acraea issoria vestoides,Acraea issoria vestoides male,Lepidoptera Butterfly Nymphalidae Acraea issoria vestoides male
306,Lepidoptera,Butterfly,Lycaenidae,Praetaxila,Praetaxila segecia,Praetaxila segecia,Praetaxila segecia male,Lepidoptera Butterfly Lycaenidae Praetaxila segecia nan male
308,Lepidoptera,Butterfly,Nymphalidae,Parantica,Parantica phyle,Parantica phyle,,Lepidoptera Butterfly Nymphalidae Parantica phyle nan nan
309,Lepidoptera,Butterfly,Lycaenidae,Abisara,Abisara geza,Abisara geza geza,,Lepidoptera Butterfly Lycaenidae Abisara geza geza nan
312,Lepidoptera,Butterfly,Lycaenidae,Abisara,Abisara geza,Abisara geza geza,Abisara geza geza male,Lepidoptera Butterfly Lycaenidae Abisara geza geza male
315,Lepidoptera,Butterfly,Lycaenidae,Abisara,Abisara geza,Abisara geza aja,,Lepidoptera Butterfly Lycaenidae Abisara geza aja nan
317,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia laratensis,Danaus genutia laratensis male,Lepidoptera Butterfly Nymphalidae Danaus genutia laratensis male
