,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
38305,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis vulgaris,Ideopsis vulgaris macrina,,Lepidoptera Butterfly Nymphalidae Ideopsis vulgaris macrina nan
38306,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis vulgaris,Ideopsis vulgaris lesora,,Lepidoptera Butterfly Nymphalidae Ideopsis vulgaris lesora nan
38386,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea core,Euploea core distantii,Euploea core distantii male,Lepidoptera Butterfly Nymphalidae Euploea core distantii male
38390,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea core,Euploea core distantii,,Lepidoptera Butterfly Nymphalidae Euploea core distantii nan
38391,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea core,Euploea core distantii,Euploea core distantii female,Lepidoptera Butterfly Nymphalidae Euploea core distantii female
38393,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea eupator,Euploea eupator orneus,,Lepidoptera Butterfly Nymphalidae Euploea eupator orneus nan
38457,Lepidoptera,Butterfly,Nymphalidae,Parantica,Parantica albata,Parantica albata gilva,Parantica albata gilva male,Lepidoptera Butterfly Nymphalidae Parantica albata gilva male
38462,Lepidoptera,Butterfly,Nymphalidae,Parantica,Parantica albata,Parantica albata gilva,Parantica albata gilva female,Lepidoptera Butterfly Nymphalidae Parantica albata gilva female
38602,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea hewitsonii,Euploea hewitsonii,Euploea hewitsonii male,Lepidoptera Butterfly Nymphalidae Euploea hewitsonii nan male
38607,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea hewitsonii,Euploea hewitsonii,,Lepidoptera Butterfly Nymphalidae Euploea hewitsonii nan nan
38642,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea hewitsonii,Euploea hewitsonii,Euploea hewitsonii female,Lepidoptera Butterfly Nymphalidae Euploea hewitsonii nan female
38673,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus taimanu,Danaus melanippus taimanu male,Lepidoptera Butterfly Nymphalidae Danaus melanippus taimanu male
38675,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus taimanu,Danaus melanippus taimanu female,Lepidoptera Butterfly Nymphalidae Danaus melanippus taimanu female
38678,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus taimanu,,Lepidoptera Butterfly Nymphalidae Danaus melanippus taimanu nan
38745,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia wetterensis,Danaus genutia wetterensis female,Lepidoptera Butterfly Nymphalidae Danaus genutia wetterensis female
38844,Lepidoptera,Butterfly,Lycaenidae,Laxita,Laxita teneta,Laxita teneta,Laxita teneta female,Lepidoptera Butterfly Lycaenidae Laxita teneta nan female
38854,Lepidoptera,Butterfly,Lycaenidae,Praetaxila,Praetaxila satraps,Praetaxila satraps,,Lepidoptera Butterfly Lycaenidae Praetaxila satraps nan nan
38867,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus hegesippus,Danaus melanippus hegesippus male,Lepidoptera Butterfly Nymphalidae Danaus melanippus hegesippus male
38877,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia intensa,Danaus genutia intensa male,Lepidoptera Butterfly Nymphalidae Danaus genutia intensa male
38892,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus chrysippus,Danaus chrysippus gelderi,Danaus chrysippus gelderi female,Lepidoptera Butterfly Nymphalidae Danaus chrysippus gelderi female
38960,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus hegesippus,Danaus melanippus hegesippus female,Lepidoptera Butterfly Nymphalidae Danaus melanippus hegesippus female
38961,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus hegesippus,,Lepidoptera Butterfly Nymphalidae Danaus melanippus hegesippus nan
39006,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber babina,Euploea mulciber babina female,Lepidoptera Butterfly Nymphalidae Euploea mulciber babina female
39092,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis affinis,,Lepidoptera Butterfly Nymphalidae Danaus affinis affinis nan
39097,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea eunice,Euploea eunice leucogonis,,Lepidoptera Butterfly Nymphalidae Euploea eunice leucogonis nan
39098,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea eunice,Euploea eunice leucogonis,Euploea eunice leucogonis male,Lepidoptera Butterfly Nymphalidae Euploea eunice leucogonis male
39146,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea leucostictos,Euploea leucostictos bernsteini,Euploea leucostictos bernsteini female,Lepidoptera Butterfly Nymphalidae Euploea leucostictos bernsteini female
39150,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea hewitsonii,Euploea hewitsonii hewitsonii,Euploea hewitsonii hewitsonii female,Lepidoptera Butterfly Nymphalidae Euploea hewitsonii hewitsonii female
39188,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea configurata,Euploea configurata,Euploea configurata female,Lepidoptera Butterfly Nymphalidae Euploea configurata nan female
39317,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea eupator,Euploea eupator,Euploea eupator female,Lepidoptera Butterfly Nymphalidae Euploea eupator nan female
39330,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis galacterion,,Lepidoptera Butterfly Nymphalidae Danaus affinis galacterion nan
39597,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea phaenareta,Euploea phaenareta locupletior,Euploea phaenareta locupletior male,Lepidoptera Butterfly Nymphalidae Euploea phaenareta locupletior male
39657,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea climena,Euploea climena,Euploea climena female,Lepidoptera Butterfly Nymphalidae Euploea climena nan female
39666,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea climena,Euploea climena palmedo,Euploea climena palmedo male,Lepidoptera Butterfly Nymphalidae Euploea climena palmedo male
39682,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea climena,Euploea climena eurypon,,Lepidoptera Butterfly Nymphalidae Euploea climena eurypon nan
39881,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia intermedius,,Lepidoptera Butterfly Nymphalidae Danaus genutia intermedius nan
39882,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia intermedius,Danaus genutia intermedius male,Lepidoptera Butterfly Nymphalidae Danaus genutia intermedius male
39977,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea midamus,Euploea midamus staudingeri,Euploea midamus staudingeri male,Lepidoptera Butterfly Nymphalidae Euploea midamus staudingeri male
39978,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea midamus,Euploea midamus aegyptus,,Lepidoptera Butterfly Nymphalidae Euploea midamus aegyptus nan
39985,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea midamus,Euploea midamus aegyptus,Euploea midamus aegyptus female,Lepidoptera Butterfly Nymphalidae Euploea midamus aegyptus female
39995,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea crameri,Euploea crameri niasica,Euploea crameri niasica female,Lepidoptera Butterfly Nymphalidae Euploea crameri niasica female
40095,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea phaenareta,Euploea phaenareta pavettae,Euploea phaenareta pavettae male,Lepidoptera Butterfly Nymphalidae Euploea phaenareta pavettae male
40124,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea hewitsonii,Euploea hewitsonii mangolina,Euploea hewitsonii mangolina male,Lepidoptera Butterfly Nymphalidae Euploea hewitsonii mangolina male
40125,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea hewitsonii,Euploea hewitsonii mangolina,Euploea hewitsonii mangolina female,Lepidoptera Butterfly Nymphalidae Euploea hewitsonii mangolina female
40152,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus edmondii,,Lepidoptera Butterfly Nymphalidae Danaus melanippus edmondii nan
40154,Lepidoptera,Butterfly,Nymphalidae,Parantica,Parantica vitrina,Parantica vitrina vitrina,Parantica vitrina vitrina male,Lepidoptera Butterfly Nymphalidae Parantica vitrina vitrina male
40155,Lepidoptera,Butterfly,Nymphalidae,Parantica,Parantica vitrina,Parantica vitrina vitrina,Parantica vitrina vitrina female,Lepidoptera Butterfly Nymphalidae Parantica vitrina vitrina female
40163,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea midamus,Euploea midamus chloe,Euploea midamus chloe male,Lepidoptera Butterfly Nymphalidae Euploea midamus chloe male
40169,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea midamus,Euploea midamus chloe,,Lepidoptera Butterfly Nymphalidae Euploea midamus chloe nan
40173,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea crameri,Euploea crameri heylaertsii,Euploea crameri heylaertsii male,Lepidoptera Butterfly Nymphalidae Euploea crameri heylaertsii male
40187,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea lynceus,Idea lynceus fumata,Idea lynceus fumata male,Lepidoptera Butterfly Nymphalidae Idea lynceus fumata male
40188,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea lynceus,Idea lynceus fumata,Idea lynceus fumata female,Lepidoptera Butterfly Nymphalidae Idea lynceus fumata female
40215,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus chrysippus,Danaus chrysippus chrysippus,Danaus chrysippus chrysippus male,Lepidoptera Butterfly Nymphalidae Danaus chrysippus chrysippus male
40302,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea crameri,Euploea crameri albomaculata,Euploea crameri albomaculata male,Lepidoptera Butterfly Nymphalidae Euploea crameri albomaculata male
40311,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea crameri,Euploea crameri albomaculata,Euploea crameri albomaculata female,Lepidoptera Butterfly Nymphalidae Euploea crameri albomaculata female
40370,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea durvillei,Idea durvillei keyensis,,Lepidoptera Butterfly Nymphalidae Idea durvillei keyensis nan
40414,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis mytilene,,Lepidoptera Butterfly Nymphalidae Danaus affinis mytilene nan
40415,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis mytilene,Danaus affinis mytilene male,Lepidoptera Butterfly Nymphalidae Danaus affinis mytilene male
40454,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis gaura,Ideopsis gaura palawana,,Lepidoptera Butterfly Nymphalidae Ideopsis gaura palawana nan
40458,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus chrysippus,Danaus chrysippus chrysippus,,Lepidoptera Butterfly Nymphalidae Danaus chrysippus chrysippus nan
40462,Lepidoptera,Butterfly,Nymphalidae,Tirumala,Tirumala septentrionis,Tirumala septentrionis palawana,,Lepidoptera Butterfly Nymphalidae Tirumala septentrionis palawana nan
40465,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea modesta,Euploea modesta lorzae,Euploea modesta lorzae male,Lepidoptera Butterfly Nymphalidae Euploea modesta lorzae male
40484,Lepidoptera,Butterfly,Nymphalidae,Tirumala,Tirumala hamata,Tirumala hamata orientalis,,Lepidoptera Butterfly Nymphalidae Tirumala hamata orientalis nan
40485,Lepidoptera,Butterfly,Nymphalidae,Parantica,Parantica aspasia,Parantica aspasia aspasia,Parantica aspasia aspasia male,Lepidoptera Butterfly Nymphalidae Parantica aspasia aspasia male
40505,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea modesta,Euploea modesta,Euploea modesta female,Lepidoptera Butterfly Nymphalidae Euploea modesta nan female
40524,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea tulliolus,Euploea tulliolus doryca,Euploea tulliolus doryca female,Lepidoptera Butterfly Nymphalidae Euploea tulliolus doryca female
40561,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus haruhasa,Danaus melanippus haruhasa male,Lepidoptera Butterfly Nymphalidae Danaus melanippus haruhasa male
40562,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus haruhasa,Danaus melanippus haruhasa female,Lepidoptera Butterfly Nymphalidae Danaus melanippus haruhasa female
40616,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea phaenareta,Euploea phaenareta juvia,Euploea phaenareta juvia male,Lepidoptera Butterfly Nymphalidae Euploea phaenareta juvia male
40618,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea sylvester,Euploea sylvester tyrianthina,Euploea sylvester tyrianthina male,Lepidoptera Butterfly Nymphalidae Euploea sylvester tyrianthina male
40633,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea climena,Euploea climena bandana,,Lepidoptera Butterfly Nymphalidae Euploea climena bandana nan
40641,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea blanchardii,Idea blanchardii garunda,Idea blanchardii garunda female,Lepidoptera Butterfly Nymphalidae Idea blanchardii garunda female
40642,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea blanchardii,Idea blanchardii blanchardii,Idea blanchardii blanchardii male,Lepidoptera Butterfly Nymphalidae Idea blanchardii blanchardii male
40643,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis gaura,Ideopsis gaura canlaonii,Ideopsis gaura canlaonii male,Lepidoptera Butterfly Nymphalidae Ideopsis gaura canlaonii male
40644,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis gaura,Ideopsis gaura anapis,Ideopsis gaura anapis female,Lepidoptera Butterfly Nymphalidae Ideopsis gaura anapis female
40650,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea durvillei,Idea durvillei hemera,,Lepidoptera Butterfly Nymphalidae Idea durvillei hemera nan
40662,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea durvillei,Idea durvillei theia,Idea durvillei theia male,Lepidoptera Butterfly Nymphalidae Idea durvillei theia male
40739,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea algea,Euploea algea eleutheria,,Lepidoptera Butterfly Nymphalidae Euploea algea eleutheria nan
40740,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea algea,Euploea algea eleutheria,Euploea algea eleutheria male,Lepidoptera Butterfly Nymphalidae Euploea algea eleutheria male
40745,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea algea,Euploea algea eleutheria,Euploea algea eleutheria female,Lepidoptera Butterfly Nymphalidae Euploea algea eleutheria female
40754,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea algea,Euploea algea talautensis,Euploea algea talautensis male,Lepidoptera Butterfly Nymphalidae Euploea algea talautensis male
40762,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea algea,Euploea algea talautensis,,Lepidoptera Butterfly Nymphalidae Euploea algea talautensis nan
40763,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea algea,Euploea algea talautensis,Euploea algea talautensis female,Lepidoptera Butterfly Nymphalidae Euploea algea talautensis female
40772,Lepidoptera,Butterfly,Nymphalidae,Tellervo,Tellervo fallax,Tellervo fallax,,Lepidoptera Butterfly Nymphalidae Tellervo fallax nan nan
40897,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis artenice,Danaus affinis artenice female,Lepidoptera Butterfly Nymphalidae Danaus affinis artenice female
40898,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus melanippus,Danaus melanippus melanippus male,Lepidoptera Butterfly Nymphalidae Danaus melanippus melanippus male
40903,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus edwardsi,Danaus melanippus edwardsi female,Lepidoptera Butterfly Nymphalidae Danaus melanippus edwardsi female
40906,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus edwardsi,Danaus melanippus edwardsi male,Lepidoptera Butterfly Nymphalidae Danaus melanippus edwardsi male
40910,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus umbrosus,,Lepidoptera Butterfly Nymphalidae Danaus melanippus umbrosus nan
40911,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus umbrosus,Danaus melanippus umbrosus male,Lepidoptera Butterfly Nymphalidae Danaus melanippus umbrosus male
40933,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber verhuelli,,Lepidoptera Butterfly Nymphalidae Euploea mulciber verhuelli nan
40969,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea camaralzeman,Euploea camaralzeman,Euploea camaralzeman male,Lepidoptera Butterfly Nymphalidae Euploea camaralzeman nan male
41078,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis vitrea,Ideopsis vitrea obiana,Ideopsis vitrea obiana female,Lepidoptera Butterfly Nymphalidae Ideopsis vitrea obiana female
41082,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea darchia,Euploea darchia hopfferi,Euploea darchia hopfferi male,Lepidoptera Butterfly Nymphalidae Euploea darchia hopfferi male
41083,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea darchia,Euploea darchia hopfferi,Euploea darchia hopfferi female,Lepidoptera Butterfly Nymphalidae Euploea darchia hopfferi female
41117,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea durvillei,Idea durvillei nike,,Lepidoptera Butterfly Nymphalidae Idea durvillei nike nan
41118,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea durvillei,Idea durvillei nike,Idea durvillei nike male,Lepidoptera Butterfly Nymphalidae Idea durvillei nike male
41263,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea leuconoe,Idea leuconoe,Idea leuconoe female,Lepidoptera Butterfly Nymphalidae Idea leuconoe nan female
41292,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia laratensis,,Lepidoptera Butterfly Nymphalidae Danaus genutia laratensis nan
41333,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea leuconoe,Idea leuconoe princesa,,Lepidoptera Butterfly Nymphalidae Idea leuconoe princesa nan
41367,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea leuconoe,Idea leuconoe,Idea leuconoe male,Lepidoptera Butterfly Nymphalidae Idea leuconoe nan male
41370,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea leuconoe,Idea leuconoe natunensis,Idea leuconoe natunensis female,Lepidoptera Butterfly Nymphalidae Idea leuconoe natunensis female
41375,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia conspicua,Danaus genutia conspicua female,Lepidoptera Butterfly Nymphalidae Danaus genutia conspicua female
41393,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea phaenareta,Euploea phaenareta celebica,,Lepidoptera Butterfly Nymphalidae Euploea phaenareta celebica nan
41404,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea phaenareta,Euploea phaenareta phaeretena,Euploea phaenareta phaeretena male,Lepidoptera Butterfly Nymphalidae Euploea phaenareta phaeretena male
41413,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea phaenareta,Euploea phaenareta nikrion,Euploea phaenareta nikrion female,Lepidoptera Butterfly Nymphalidae Euploea phaenareta nikrion female
41417,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea phaenareta,Euploea phaenareta butleri,Euploea phaenareta butleri male,Lepidoptera Butterfly Nymphalidae Euploea phaenareta butleri male
41418,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea phaenareta,Euploea phaenareta butleri,Euploea phaenareta butleri female,Lepidoptera Butterfly Nymphalidae Euploea phaenareta butleri female
41425,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea sylvester,Euploea sylvester watsoni,Euploea sylvester watsoni male,Lepidoptera Butterfly Nymphalidae Euploea sylvester watsoni male
41429,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea sylvester,Euploea sylvester watsoni,Euploea sylvester watsoni female,Lepidoptera Butterfly Nymphalidae Euploea sylvester watsoni female
41430,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea sylvester,Euploea sylvester payeni,,Lepidoptera Butterfly Nymphalidae Euploea sylvester payeni nan
41441,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium aristeus,Graphium aristeus,,Lepidoptera Butterfly Papilionidae Graphium aristeus nan nan
41442,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium codrus,Graphium codrus,,Lepidoptera Butterfly Papilionidae Graphium codrus nan nan
41446,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium wallacei,Graphium wallacei,,Lepidoptera Butterfly Papilionidae Graphium wallacei nan nan
41448,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera chimaera,Ornithoptera chimaera,Ornithoptera chimaera female,Lepidoptera Butterfly Papilionidae Ornithoptera chimaera nan female
41449,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera chimaera,Ornithoptera chimaera,Ornithoptera chimaera male,Lepidoptera Butterfly Papilionidae Ornithoptera chimaera nan male
41450,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera goliath,Ornithoptera goliath,Ornithoptera goliath female,Lepidoptera Butterfly Papilionidae Ornithoptera goliath nan female
41451,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera goliath,Ornithoptera goliath,Ornithoptera goliath male,Lepidoptera Butterfly Papilionidae Ornithoptera goliath nan male
41453,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera paradisea,Ornithoptera paradisea,Ornithoptera paradisea male,Lepidoptera Butterfly Papilionidae Ornithoptera paradisea nan male
41461,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera rothschildi,Ornithoptera rothschildi,Ornithoptera rothschildi male,Lepidoptera Butterfly Papilionidae Ornithoptera rothschildi nan male
41462,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera tithonus,Ornithoptera tithonus,Ornithoptera tithonus female,Lepidoptera Butterfly Papilionidae Ornithoptera tithonus nan female
41463,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera tithonus,Ornithoptera tithonus,Ornithoptera tithonus male,Lepidoptera Butterfly Papilionidae Ornithoptera tithonus nan male
41470,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides bochus,Jamides bochus,,Lepidoptera Butterfly Lycaenidae Jamides bochus nan nan
41472,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides bochus,Jamides bochus,Jamides bochus female,Lepidoptera Butterfly Lycaenidae Jamides bochus nan female
41477,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides bochus,Jamides bochus,Jamides bochus male,Lepidoptera Butterfly Lycaenidae Jamides bochus nan male
41479,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides soemias,Jamides soemias,,Lepidoptera Butterfly Lycaenidae Jamides soemias nan nan
41480,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides soemias,Jamides soemias,Jamides soemias female,Lepidoptera Butterfly Lycaenidae Jamides soemias nan female
41482,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides soemias,Jamides soemias,Jamides soemias male,Lepidoptera Butterfly Lycaenidae Jamides soemias nan male
41483,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides amarauge,Jamides amarauge,Jamides amarauge female,Lepidoptera Butterfly Lycaenidae Jamides amarauge nan female
41484,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides amarauge,Jamides amarauge,Jamides amarauge male,Lepidoptera Butterfly Lycaenidae Jamides amarauge nan male
41485,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides amarauge,Jamides amarauge,,Lepidoptera Butterfly Lycaenidae Jamides amarauge nan nan
41487,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides nitens,Jamides nitens,,Lepidoptera Butterfly Lycaenidae Jamides nitens nan nan
41488,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides nitens,Jamides nitens,Jamides nitens male,Lepidoptera Butterfly Lycaenidae Jamides nitens nan male
41489,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides nitens,Jamides nitens,Jamides nitens female,Lepidoptera Butterfly Lycaenidae Jamides nitens nan female
41491,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides cyta,Jamides cyta,,Lepidoptera Butterfly Lycaenidae Jamides cyta nan nan
41493,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides cyta,Jamides cyta,Jamides cyta male,Lepidoptera Butterfly Lycaenidae Jamides cyta nan male
41494,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides cyta,Jamides cyta,Jamides cyta female,Lepidoptera Butterfly Lycaenidae Jamides cyta nan female
41495,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides aetherialis,Jamides aetherialis,,Lepidoptera Butterfly Lycaenidae Jamides aetherialis nan nan
41496,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides aetherialis,Jamides aetherialis,Jamides aetherialis male,Lepidoptera Butterfly Lycaenidae Jamides aetherialis nan male
41498,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides aetherialis,Jamides aetherialis,Jamides aetherialis female,Lepidoptera Butterfly Lycaenidae Jamides aetherialis nan female
41499,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides aleuas,Jamides aleuas,,Lepidoptera Butterfly Lycaenidae Jamides aleuas nan nan
41500,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides aleuas,Jamides aleuas,Jamides aleuas female,Lepidoptera Butterfly Lycaenidae Jamides aleuas nan female
41501,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides aleuas,Jamides aleuas,Jamides aleuas male,Lepidoptera Butterfly Lycaenidae Jamides aleuas nan male
41503,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides allectus,Jamides allectus,,Lepidoptera Butterfly Lycaenidae Jamides allectus nan nan
41507,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides pseudosias,Jamides pseudosias,,Lepidoptera Butterfly Lycaenidae Jamides pseudosias nan nan
41511,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides reverdini,Jamides reverdini,,Lepidoptera Butterfly Lycaenidae Jamides reverdini nan nan
41512,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides reverdini,Jamides reverdini,Jamides reverdini male,Lepidoptera Butterfly Lycaenidae Jamides reverdini nan male
41514,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides reverdini,Jamides reverdini,Jamides reverdini female,Lepidoptera Butterfly Lycaenidae Jamides reverdini nan female
41515,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides aruensis,Jamides aruensis,,Lepidoptera Butterfly Lycaenidae Jamides aruensis nan nan
41519,Lepidoptera,Butterfly,Lycaenidae,Jamides,Jamides cephion,Jamides cephion,,Lepidoptera Butterfly Lycaenidae Jamides cephion nan nan
41520,Lepidoptera,Butterfly,Lycaenidae,Epimastidia,Epimastidia inops,Epimastidia inops,,Lepidoptera Butterfly Lycaenidae Epimastidia inops nan nan
41524,Lepidoptera,Butterfly,Lycaenidae,Catochrysops,Catochrysops amasea,Catochrysops amasea,,Lepidoptera Butterfly Lycaenidae Catochrysops amasea nan nan
